id,name,description,price,original_price,discount,offer
1,KARSON,Mini Motosierra Inalámbrica 4 "/Batería 21 V,$ 23.990,$ 29.990,-20%,True
2,BAUKER,Taladro percutor eléctrico 13 mm 650W + 50 accesorios,$ 27.990,,,False
3,BOSCH,Taladro inalámbrico percutor 13 mm 18V + 2 baterías,$ 119.990,$ 194.990,-38%,True
4,BAUKER,Set herramientas 18v bauker,$ 159.990,$ 199.990,-20%,True
5,STANLEY,Taladro inalámbrico percutor 13mm 20V + 2 baterías + maletín,$ 99.990,$ 124.990,-20%,True
6,UBERMANN,Carro para herramientas 3 en 1,$ 159.990,,,False
7,BAUKER,Set de herramientas multifuncional,$ 39.990,$ 51.990,-23%,True
8,BOSCH,Esmeril angular eléctrico 4_5" 710 W + 7 Discos,$ 34.990,$ 49.990,-30%,True
9,BAUKER,Taladro percutor eléctrico 13 mm 900W + 73 accesorios,$ 40.990,,,False
10,BOSCH,Kit brocas y puntas 50 piezas,$ 19.990,$ 30.990,-35%,True
11,BOSCH,Taladro inalámbrico percutor 13 mm 18V + 1 batería + 23 accesorios,$ 129.990,,,False
12,BAUKER,Generador eléctrico a gasolina inverter 3000W,$ 419.988,,,False
13,BAUKER,Carro porta herramientas 2 en 1 38x35x60,$ 68.240,,,False
14,UBERMANN,Set 400 accesorios para taladro,$ 37.990,,,False
15,STIHL,Motosierra a gasolina 16" 2 HP 31_8 cc,$ 279.990,,,False
16,UBERMANN,Carro porta herramientas 29" 40x48x77 cm,$ 66.990,,,False
17,DEWALT,Taladro percutor inalámbrico 13 mm 20V + 2 baterías,$ 179.990,,,False
18,BAUKER,Sierra circular eléctrica 7 1/4" 1300W,$ 39.990,,,False
19,BAUKER,Caja de herramientas 16",$ 6.290,,,False
20,BAUKER,Taladro inalámbrico percutor 10 mm 12V + 1 batería + 29 accesorios,$ 44.990,,,False
21,UBERMANN,Taladro inalámbrico percutor 13 mm 20V + 1 batería,$ 99.990,$ 132.993,-25%,True
22,BAUKER,Esmeril angular eléctrico 4_5" 820W + 20 discos,$ 27.990,,,False
23,LERNEN,Taladro inalámbrico atornillador 10mm 21V + 2 baterías,$ 34.990,$ 64.990,-46%,True
24,REDLINE,Set de destornilladores y puntas 31 piezas,$ 9.990,,,False
25,BAUKER,Taladro inalámbrico percutor 13 mm 18V + 2 baterías,$ 109.990,,,False
26,REDLINE,Set de herramientas manuales acero 7 piezas,$ 10.990,,,False
27,BOSCH,Rotomartillo eléctricto 820W 2.7 J,$ 153.690,,,False
28,DEWALT,Taladro Inalámbrico Percutor 13 mm 20V+2 Baterías+100 Accesorios,$ 258.990,,,False
29,BAUKER,Sierra de banco eléctrica 10" 1500W,$ 189.990,,,False
30,STIHL,Motosierra 2 tiempos MS250 18" 3_1 HP 45_4 cc,$ 389.990,,,False
